"","X","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","P0hPa","PseahPa","Precmm","Nt","HKm","InsoD1","Viskm"
"135",135,"2021-01-15 00:00:00",23,3.9,29,NA,NA,"CAL",0,986.2,1011.1,"0.0/6h",5,2.5,NA,10
"134",134,"2021-01-15 03:00:00",21,3.4,31,NA,NA,"CAL",0,985.3,1010.1,NA,5,2.5,NA,10
"133",133,"2021-01-15 06:00:00",19,3.2,35,NA,18.8,"CAL",0,986.3,1011.4,"0.0/24h",5,2.5,10.8,10
"132",132,"2021-01-15 09:00:00",27.5,-0.8,16,NA,NA,"NE",11.1,987.7,1012.7,NA,5,2.5,NA,10
"131",131,"2021-01-15 12:00:00",33,-0.9,11,NA,NA,"E",18.5,986,1010.9,"0.0/6h",5,2.5,NA,10
"130",130,"2021-01-15 15:00:00",34.6,-4,8,NA,NA,"NE",22.2,983.8,1008.7,NA,5,2.5,NA,10
"129",129,"2021-01-15 18:00:00",32.5,-5.8,8,35.4,NA,"NE",7.4,984.3,1009.3,"0.0/12h",5,2.5,NA,8
"128",128,"2021-01-15 21:00:00",26.5,-1.8,15,NA,NA,"NE",7.4,985.4,1010.3,NA,5,2.5,NA,10
"127",127,"2021-01-16 00:00:00",23,2.1,25,NA,NA,"NE",7.4,984.9,1009.7,"0.0/6h",5,2.5,NA,10
"126",126,"2021-01-16 03:00:00",21.7,0.8,25,NA,NA,"NE",7.4,983.9,1008.7,NA,5,2.5,NA,10
"125",125,"2021-01-16 06:00:00",19,2.5,33,NA,19,"NE",7.4,984.8,1009.8,"0.0/24h",5,2.5,10.6,10
"124",124,"2021-01-16 09:00:00",26.6,0.2,18,NA,NA,"E",11.1,986.3,1011.3,NA,5,2.5,NA,6
"123",123,"2021-01-16 12:00:00",34,0.8,12,NA,NA,"ENE",0,984.5,1009.3,"0.0/6h",5,2.5,NA,8
"122",122,"2021-01-16 15:00:00",35.2,0.5,11,NA,NA,"ENE",14.8,982.6,1007.3,NA,5,2.5,NA,10
"121",121,"2021-01-16 18:00:00",32.4,1.8,14,35.6,NA,"NE",11.1,983.5,1008.5,"0.0/12h",5,2.5,NA,5
"120",120,"2021-01-16 21:00:00",27.8,2,19,NA,NA,"NNW",11.1,985.8,1010.7,NA,5,2.5,NA,8
"119",119,"2021-01-17 00:00:00",25,2,22,NA,NA,"NNW",7.4,985.5,1010.2,"0.0/6h",5,2.5,NA,5
"118",118,"2021-01-17 03:00:00",22,1.7,26,NA,NA,"NNW",7.4,984.9,1009.7,NA,5,2.5,NA,8
"117",117,"2021-01-17 06:00:00",21.2,1.7,27,NA,19.5,"NW",11.1,985.6,1010.6,"0.0/24h",5,2.5,10.2,8
"116",116,"2021-01-17 09:00:00",27.4,-0.5,16,NA,NA,"NE",14.8,987.5,1012.4,NA,7,2.5,NA,10
"115",115,"2021-01-17 12:00:00",34,-1.8,10,NA,NA,"NE",22.2,986,1010.7,"0.0/6h",7,2.5,NA,10
"114",114,"2021-01-17 15:00:00",35,0,11,NA,NA,"E",18.5,983.4,1008.2,NA,7,2.5,NA,10
"113",113,"2021-01-17 18:00:00",32.5,2.4,15,35.5,NA,"ENE",7.4,983.6,1008.5,"0.0/12h",6,2.5,NA,10
"112",112,"2021-01-17 21:00:00",27.5,4.2,22,NA,NA,"CAL",0,985.5,1010.4,NA,5,2.5,NA,10
"111",111,"2021-01-18 00:00:00",24,2.1,24,NA,NA,"NE",14.8,986.1,1010.9,"0.0/6h",5,2.5,NA,10
"110",110,"2021-01-18 03:00:00",21.5,-1,22,NA,NA,"CAL",0,985.4,1010.2,NA,5,2.5,NA,10
"109",109,"2021-01-18 06:00:00",20,-2.1,22,NA,19.8,"N",11.1,986.5,1011.5,"0.0/24h",5,2.5,7.9,10
"108",108,"2021-01-18 09:00:00",27,-0.6,16,NA,NA,"E",25.9,988.6,1013.6,NA,3,2.5,NA,10
"107",107,"2021-01-18 12:00:00",33,-0.5,12,NA,NA,"E",18.5,987,1011.8,"0.0/6h",3,2.5,NA,10
"106",106,"2021-01-18 15:00:00",35.5,-0.5,10,NA,NA,"ESE",18.5,984.1,1008.9,NA,3,2.5,NA,10
"105",105,"2021-01-18 18:00:00",32.2,2,15,35.5,NA,"ESE",18.5,984.9,1009.9,"0.0/12h",3,2.5,NA,10
"104",104,"2021-01-18 21:00:00",27,4.6,24,NA,NA,"CAL",0,987,1012,NA,3,2.5,NA,6
"103",103,"2021-01-19 00:00:00",24.5,3.4,25,NA,NA,"CAL",0,987.6,1012.4,"0.0/6h",3,2.5,NA,8
"102",102,"2021-01-19 03:00:00",23.5,-0.5,20,NA,NA,"E",7.4,987.2,1012,NA,3,2.5,NA,10
"101",101,"2021-01-19 06:00:00",21,2,28,NA,21,"CAL",0,988.2,1013.2,"0.0/24h",3,2.5,10.7,10
"100",100,"2021-01-19 09:00:00",25.5,-3,15,NA,NA,"E",25.9,990.1,1015.2,NA,3,2.5,NA,8
"99",99,"2021-01-19 12:00:00",31.5,-2,11,NA,NA,"E",22.2,988.3,1013.2,"0.0/6h",3,2.5,NA,8
"98",98,"2021-01-19 15:00:00",34,-2.8,9,NA,NA,"ENE",18.5,985.8,1010.6,NA,5,2.5,NA,8
"97",97,"2021-01-19 18:00:00",32.2,-2,11,35.2,NA,"NE",14.8,986.1,1011.1,"0.0/12h",5,2.5,NA,6
"96",96,"2021-01-19 21:00:00",25.5,2.5,22,NA,NA,"NNE",11.1,987.9,1013,NA,3,2.5,NA,8
"95",95,"2021-01-20 00:00:00",23.5,2.3,25,NA,NA,"NNE",11.1,988,1013,"0.0/6h",3,2.5,NA,10
"94",94,"2021-01-20 03:00:00",20.8,2.1,29,NA,NA,"NE",11.1,987.5,1012.4,NA,3,2.5,NA,10
"93",93,"2021-01-20 06:00:00",19.2,-0.4,27,NA,19.2,"NE",11.1,988.4,1013.5,"0.0/24h",3,2.5,10.7,10
"92",92,"2021-01-20 09:00:00",24.2,-2.9,16,NA,NA,"NE",29.7,990.4,1015.6,NA,3,2.5,NA,8
